Incident Angle (deg),SPR Curve (1 meV),SPR Curve (1 eV),SPR Curve (1.5 eV),SPR Curve (2 eV),SPR Curve (2.5 eV),SPR Curve (3 eV),SPR Curve (3.5 eV),SPR Curve (4 eV),SPR Curve (4.5 eV),SPR Curve (5 eV),SPR Curve (5.5 eV),SPR Curve (6 eV),SPR Curve (6.5 eV),SPR Curve (7 eV),SPR Curve (7.5 eV),SPR Curve (8 eV),SPR Curve (8.5 eV),SPR Curve (9 eV),SPR Curve (9.5 eV),SPR Curve (10 eV)
1.46678880845741,0.918442777434606,0.999841157708381,0.993615403471132,0.999791639614827,0.999942921614271,0.999967341185894,0.999975672741211,0.999979534907677,0.999981657419239,0.999982958549813,0.999983819758559,0.999984423420433,0.999984865979249,0.999985202468289,0.999985466214892,0.999985678390999,0.999985852986465,0.999985999554542,0.999986124805593,0.999986233564134
1.46741725267697,0.918059147715832,0.999840404834905,0.993600224652986,0.999790563972784,0.999942636198592,0.999967179695795,0.999975553312932,0.999979435069551,0.999981568482036,0.999982876428633,0.999983742272564,0.999984349296195,0.99998479442203,0.999985132955968,0.99998539839017,0.999985612001122,0.999985787847663,0.999985935530087,0.999986061791743,0.999986171480828
1.46804569689653,0.917672294145198,0.999839645649121,0.993585100470904,0.999789477640111,0.999942348138729,0.999967016760203,0.999975432841653,0.999979334377091,0.999981478797495,0.99998279362902,0.999983664156813,0.999984274579107,0.999984722301536,0.999985062905136,0.999985330048402,0.99998554511333,0.999985722228373,0.999985871041291,0.999985998328721,0.999986108962753
1.46867414111609,0.917282187161787,0.999838880097348,0.993570034888988,0.999788380479102,0.999942057405166,0.999966852364149,0.999975311317169,0.999979232822354,0.999981388359002,0.999982710145258,0.999983585406262,0.999984199264669,0.999984649613729,0.999984992312161,0.99998526118633,0.999985477724709,0.999985656126001,0.999985806085867,0.999985934414536,0.999986046008206
1.46930258533565,0.916888797185208,0.999838108126108,0.993555031991476,0.999787272350244,0.999941763968152,0.999966686492589,0.999975188729255,0.999979130397399,0.999981297159956,0.999982625971659,0.999983506015907,0.999984123348425,0.999984576354622,0.999984921173474,0.999985191800762,0.999985409832416,0.999985589538035,0.999985740661618,0.999985870047292,0.99998598261558
1.46993102955522,0.916492094634473,0.999837329682181,0.993540095985846,0.999786153112215,0.999941467797717,0.999966519130413,0.999975065067665,0.999979027094284,0.999981205193776,0.99998254110256,0.999983425980778,0.999984046825969,0.999984502520289,0.999984849485569,0.999985121888577,0.999985341433688,0.99998552246205,0.999985674766441,0.999985805225193,0.999985918783377
1.47055947377478,0.91609204994816,0.999836544712653,0.993525231205973,0.999785022621875,0.999941168863671,0.999966350262454,0.999974940322137,0.999978922905081,0.999981112453904,0.99998245553234,0.999983345295956,0.999983969692952,0.999984428106865,0.999984777245013,0.999985051446734,0.999985272525851,0.999985454895715,0.999985608398331,0.999985739946549,0.999985854510212
1.47118791799434,0.915688633605943,0.999835753164975,0.993510442115351,0.999783880734265,0.999940867135621,0.999966179873491,0.999974814482409,0.999978817821875,0.999981018933812,0.999982369255415,0.999983263956573,0.999983891945082,0.999984353110554,0.99998470444845,0.99998498047228,0.999985203106322,0.999985386836798,0.999985541555393,0.999985674209787,0.99998578979482
1.4718163622139,0.915281816151561,0.99983495498702,0.993495733310389,0.999782727302609,0.999940562582978,0.999966007948261,0.999974687538215,0.999978711836775,0.999980924627012,0.999982282266252,0.999983181957818,0.999983813578139,0.999984277527638,0.999984631092611,0.999984908962351,0.999985133172619,0.999985318283176,0.999985474235842,0.999985608013451,0.999985724636065
1.47244480643346,0.914871568217291,0.999834150127143,0.99348110952376,0.999781562178315,0.999940255174967,0.999965834471465,0.999974559479297,0.99997860494192,0.999980829527056,0.999982194559376,0.999983099294949,0.999983734587975,0.999984201354485,0.999984557174316,0.999984836914185,0.999985062722366,0.999985249232841,0.999985406438023,0.99998554135622,0.999985659032948
1.47307325065303,0.914457860550054,0.999833338534252,0.993466575627825,0.999780385210976,0.999939944880643,0.999965659427781,0.999974430295417,0.999978497129485,0.999980733627551,0.999982106129371,0.999983015963294,0.999983654970526,0.999984124587547,0.999984482690485,0.999984764325128,0.999984991753306,0.999985179683906,0.999985338160405,0.999985474236906,0.999985592984613
